DATE,WDDNS
1975-01-06,216.6
1975-01-13,212.6
1975-01-20,210.0
1975-01-27,202.6
1975-02-03,202.8
1975-02-10,201.5
1975-02-17,201.3
1975-02-24,198.3
1975-03-03,201.9
1975-03-10,203.6
1975-03-17,203.6
1975-03-24,201.2
1975-03-31,202.9
1975-04-07,207.8
1975-04-14,210.1
1975-04-21,208.7
1975-04-28,203.0
1975-05-05,202.2
1975-05-12,202.5
1975-05-19,203.1
1975-05-26,202.1
1975-06-02,206.4
1975-06-09,208.3
1975-06-16,211.8
1975-06-23,208.6
1975-06-30,209.3
1975-07-07,211.3
1975-07-14,212.7
1975-07-21,210.2
1975-07-28,207.4
1975-08-04,209.7
1975-08-11,208.2
1975-08-18,209.1
1975-08-25,207.5
1975-09-01,208.7
1975-09-08,211.3
1975-09-15,214.2
1975-09-22,208.3
1975-09-29,207.9
1975-10-06,209.5
1975-10-13,210.9
1975-10-20,212.1
1975-10-27,207.5
1975-11-03,214.0
1975-11-10,215.2
1975-11-17,214.9
1975-11-24,212.0
1975-12-01,215.7
1975-12-08,215.5
1975-12-15,218.6
1975-12-22,217.7
1975-12-29,219.8
1976-01-05,225.7
1976-01-12,220.9
1976-01-19,218.5
1976-01-26,210.4
1976-02-02,211.3
1976-02-09,210.7
1976-02-16,210.9
1976-02-23,205.6
1976-03-01,208.2
1976-03-08,208.9
1976-03-15,211.8
1976-03-22,208.6
1976-03-29,209.8
1976-04-05,215.0
1976-04-12,219.4
1976-04-19,221.5
1976-04-26,215.4
1976-05-03,213.1
1976-05-10,212.6
1976-05-17,212.0
1976-05-24,208.9
1976-05-31,212.4
1976-06-07,213.9
1976-06-14,217.0
1976-06-21,214.7
1976-06-28,212.3
1976-07-05,217.3
1976-07-12,217.9
1976-07-19,217.9
1976-07-26,213.1
1976-08-02,215.3
1976-08-09,215.0
1976-08-16,216.6
1976-08-23,212.7
1976-08-30,213.2
1976-09-06,213.9
1976-09-13,220.2
1976-09-20,217.0
1976-09-27,212.3
1976-10-04,218.4
1976-10-11,220.4
1976-10-18,220.0
1976-10-25,217.6
1976-11-01,221.9
1976-11-08,221.0
1976-11-15,223.6
1976-11-22,218.4
1976-11-29,220.2
1976-12-06,225.4
1976-12-13,227.1
1976-12-20,229.3
1976-12-27,228.5
1977-01-03,237.8
1977-01-10,233.9
1977-01-17,230.6
1977-01-24,222.7
1977-01-31,219.9
1977-02-07,221.6
1977-02-14,221.9
1977-02-21,217.4
1977-02-28,218.3
1977-03-07,221.5
1977-03-14,223.8
1977-03-21,222.1
1977-03-28,219.3
1977-04-04,228.4
1977-04-11,233.2
1977-04-18,234.6
1977-04-25,229.1
1977-05-02,227.1
1977-05-09,223.7
1977-05-16,225.3
1977-05-23,220.9
1977-05-30,221.8
1977-06-06,227.4
1977-06-13,228.9
1977-06-20,229.9
1977-06-27,225.8
1977-07-04,232.2
1977-07-11,232.9
1977-07-18,233.8
1977-07-25,227.3
1977-08-01,229.6
1977-08-08,229.5
1977-08-15,229.6
1977-08-22,226.9
1977-08-29,227.5
1977-09-05,231.4
1977-09-12,234.8
1977-09-19,233.8
1977-09-26,228.0
1977-10-03,234.6
1977-10-10,235.6
1977-10-17,236.8
1977-10-24,232.9
1977-10-31,235.2
1977-11-07,238.5
1977-11-14,239.4
1977-11-21,235.8
1977-11-28,235.1
1977-12-05,241.7
1977-12-12,242.1
1977-12-19,244.9
